datetime,saltfront_daily,saltfront7_weekly
2001-02-26T00:00:00Z,NA,NA
2001-02-27T00:00:00Z,NA,NA
2001-02-28T00:00:00Z,NA,NA
2001-03-01T00:00:00Z,NA,NA
2001-03-02T00:00:00Z,NA,NA
2001-03-03T00:00:00Z,NA,NA
2001-03-04T00:00:00Z,NA,NA
2001-03-05T00:00:00Z,NA,NA
2001-03-06T00:00:00Z,NA,NA
2001-03-07T00:00:00Z,NA,NA
2001-03-08T00:00:00Z,NA,NA
2001-03-09T00:00:00Z,NA,NA
2001-03-10T00:00:00Z,NA,NA
2001-03-11T00:00:00Z,NA,NA
2001-03-12T00:00:00Z,NA,NA
2001-03-13T00:00:00Z,NA,NA
2001-03-14T00:00:00Z,NA,NA
2001-03-15T00:00:00Z,NA,NA
2001-03-16T00:00:00Z,NA,NA
2001-03-17T00:00:00Z,NA,NA
2001-03-18T00:00:00Z,NA,NA
2001-03-19T00:00:00Z,NA,NA
2001-03-20T00:00:00Z,NA,NA
2001-03-21T00:00:00Z,NA,NA
2001-03-22T00:00:00Z,NA,NA
2001-03-23T00:00:00Z,NA,NA
2001-03-24T00:00:00Z,NA,NA
2001-03-25T00:00:00Z,NA,NA
2001-03-26T00:00:00Z,NA,NA
2001-03-27T00:00:00Z,NA,NA
2001-03-28T00:00:00Z,64.84,NA
2001-03-29T00:00:00Z,64.26,NA
2001-03-30T00:00:00Z,64.91,NA
2001-03-31T00:00:00Z,60.94,NA
2001-04-01T00:00:00Z,59,NA
2001-04-02T00:00:00Z,56.79,NA
2001-04-03T00:00:00Z,53.83,60.65285714285714
2001-04-04T00:00:00Z,51.95,58.81142857142857
2001-04-05T00:00:00Z,48.86,56.61142857142857
2001-04-06T00:00:00Z,45.25,53.80285714285714
2001-04-07T00:00:00Z,44.83,51.50142857142857
2001-04-08T00:00:00Z,47.11,49.80285714285714
2001-04-09T00:00:00Z,46.13,48.27999999999999
2001-04-10T00:00:00Z,41.29,46.48857142857143
2001-04-11T00:00:00Z,39.13,44.65714285714286
2001-04-12T00:00:00Z,36.92,42.95142857142856
2001-04-13T00:00:00Z,35.68,41.58428571428571
2001-04-14T00:00:00Z,35.29,40.22142857142857
2001-04-15T00:00:00Z,38.01,38.92142857142857
2001-04-16T00:00:00Z,53.67,39.99857142857143
2001-04-17T00:00:00Z,57.7,42.34285714285714
2001-04-18T00:00:00Z,63.97,45.89142857142856
2001-04-19T00:00:00Z,66.56,50.12571428571429
2001-04-20T00:00:00Z,66.35,54.50714285714285
2001-04-21T00:00:00Z,65.99,58.89285714285715
2001-04-22T00:00:00Z,65.75,62.85571428571428
2001-04-23T00:00:00Z,64.59,64.41571428571429
2001-04-24T00:00:00Z,64.9,65.44428571428571
2001-04-25T00:00:00Z,64.39,65.50428571428571
2001-04-26T00:00:00Z,65.15,65.30285714285715
2001-04-27T00:00:00Z,65.86,65.23285714285713
2001-04-28T00:00:00Z,65.14,65.11142857142856
2001-04-29T00:00:00Z,65.08,65.01571428571428
2001-04-30T00:00:00Z,65.61,65.16142857142857
2001-05-01T00:00:00Z,64.78,65.14428571428572
2001-05-02T00:00:00Z,65.1,65.24571428571429
2001-05-03T00:00:00Z,64.77,65.19142857142857
2001-05-04T00:00:00Z,64.76,65.0342857142857
2001-05-05T00:00:00Z,64.86,64.99428571428571
2001-05-06T00:00:00Z,66.05,65.13285714285713
2001-05-07T00:00:00Z,66.6,65.27428571428571
2001-05-08T00:00:00Z,65.97,65.44428571428571
2001-05-09T00:00:00Z,65.93,65.56285714285714
2001-05-10T00:00:00Z,66.07,65.74857142857142
2001-05-11T00:00:00Z,66.27,65.96428571428571
2001-05-12T00:00:00Z,66.44,66.19
2001-05-13T00:00:00Z,66.63,66.27285714285713
2001-05-14T00:00:00Z,67.95,66.46571428571427
2001-05-15T00:00:00Z,68.52,66.83
2001-05-16T00:00:00Z,69.2,67.29714285714284
2001-05-17T00:00:00Z,69.7,67.81571428571428
2001-05-18T00:00:00Z,69.72,68.30857142857143
2001-05-19T00:00:00Z,69.61,68.76142857142857
2001-05-20T00:00:00Z,69.74,69.20571428571428
2001-05-21T00:00:00Z,69.89,69.48285714285714
2001-05-22T00:00:00Z,69.79,69.66428571428571
2001-05-23T00:00:00Z,69.57,69.71714285714286
2001-05-24T00:00:00Z,69.84,69.73714285714286
2001-05-25T00:00:00Z,69.86,69.75714285714285
2001-05-26T00:00:00Z,69.73,69.77428571428571
2001-05-27T00:00:00Z,68.77,69.63571428571429
2001-05-28T00:00:00Z,68.66,69.46
2001-05-29T00:00:00Z,68.4,69.26142857142857
2001-05-30T00:00:00Z,68.23,69.07000000000001
2001-05-31T00:00:00Z,68,68.80714285714285
2001-06-01T00:00:00Z,68.06,68.55
2001-06-02T00:00:00Z,67.73,68.26428571428572
2001-06-03T00:00:00Z,67.42,68.07142857142857
2001-06-04T00:00:00Z,66.86,67.81428571428572
2001-06-05T00:00:00Z,66.72,67.57428571428571
2001-06-06T00:00:00Z,66.39,67.31142857142858
2001-06-07T00:00:00Z,66.63,67.11571428571429
2001-06-08T00:00:00Z,66.79,66.9342857142857
2001-06-09T00:00:00Z,66.93,66.82000000000001
2001-06-10T00:00:00Z,67.18,66.78571428571429
2001-06-11T00:00:00Z,67.42,66.86571428571428
2001-06-12T00:00:00Z,67.15,66.92714285714285
2001-06-13T00:00:00Z,67.56,67.09428571428572
2001-06-14T00:00:00Z,67.78,67.25857142857143
2001-06-15T00:00:00Z,67.86,67.41142857142857
2001-06-16T00:00:00Z,68.11,67.58
2001-06-17T00:00:00Z,66.4,67.46857142857142
2001-06-18T00:00:00Z,66.11,67.28142857142856
2001-06-19T00:00:00Z,66.16,67.14
2001-06-20T00:00:00Z,65.62,66.86285714285714
2001-06-21T00:00:00Z,65.33,66.51285714285714
2001-06-22T00:00:00Z,66.14,66.26714285714286
2001-06-23T00:00:00Z,66.37,66.01857142857143
2001-06-24T00:00:00Z,65.17,65.84285714285714
2001-06-25T00:00:00Z,65.17,65.70857142857142
2001-06-26T00:00:00Z,65.1,65.55714285714285
2001-06-27T00:00:00Z,64.77,65.43571428571428
2001-06-28T00:00:00Z,64.62,65.33428571428571
2001-06-29T00:00:00Z,65.56,65.25142857142856
2001-06-30T00:00:00Z,66.06,65.20714285714286
2001-07-01T00:00:00Z,65.63,65.27285714285713
2001-07-02T00:00:00Z,65.42,65.30857142857143
2001-07-03T00:00:00Z,66.73,65.54142857142857
2001-07-04T00:00:00Z,66.54,65.7942857142857
2001-07-05T00:00:00Z,66.65,66.08428571428571
2001-07-06T00:00:00Z,66.91,66.27714285714285
2001-07-07T00:00:00Z,67.34,66.46
2001-07-08T00:00:00Z,67.31,66.7
2001-07-09T00:00:00Z,67.05,66.93285714285715
2001-07-10T00:00:00Z,67.47,67.03857142857143
2001-07-11T00:00:00Z,67.43,67.16571428571429
2001-07-12T00:00:00Z,68.03,67.36285714285715
2001-07-13T00:00:00Z,68.68,67.61571428571429
2001-07-14T00:00:00Z,69.23,67.88571428571429
2001-07-15T00:00:00Z,69.63,68.21714285714286
2001-07-16T00:00:00Z,69.76,68.60428571428572
2001-07-17T00:00:00Z,69.79,68.93571428571428
2001-07-18T00:00:00Z,69.72,69.26285714285714
2001-07-19T00:00:00Z,69.96,69.53857142857143
